,,Фінал,Фінал,Фінал,Стиковоний бій 1,Стиковоний бій 1,Стиковоний бій 1,Стиковоний бій 2,Стиковоний бій 2,Стиковоний бій 2,Стиковоний бій 2,Стиковоний бій 3,Стиковоний бій 3,Стиковоний бій 3,Стиковоний бій 3,Стиковоний бій 4,Стиковоний бій 4,Стиковоний бій 4,Стиковоний бій 4,Стиковоний бій 5,Стиковоний бій 5
3. Міста,"20. [Роздатка
https://drive.google.com/file/d/1KVsFM7SDia1MExkD1Cw8COPXOVPXYAB7/view?usp=sharing]
Перед вами частина логотипу, створеного для ЦЬОГО УКРАЇНСЬКОГО ОБЛАСНОГО ЦЕНТРУ художником Нікітою Титовим.
Відповідь: Дніпро
Коментар: ми бачимо меч що поєднаний з ракетою на стартовому майданчику, що має відображати важливу роль Дніпра як форпоста під час російської агресії і одночасно вказувати на космічні традиції міста.
Повний логотип
https://drive.google.com/file/d/1KYKaqETbOuTBmJfoH7_GcllHAFyGoMGr/view?usp=sharing
Джерело: https://www.facebook.com/fajnemistodnipro
Автор: Євген Шляхов (Дніпро)",,,,,1,,,1,,,,,,1,,,,,-1,-1
3. Міста,"30. ЦЕ МІСТО, що відоме з одинадцятого століття як центр одного з південно-західних руських князівств, отримало назву, через те, що для будівництва міста потрібно було очистити територію, повисмикувавши дерева.
Відповідь: Теребовля
Коментар: словом “теребити” називають наприклад процес очищення овочів, але раніше так говорили й про очищення території від дерев, 
Джерело: https://uk.wikipedia.org/wiki/Теребовля
Автор: Євген Шляхов (Дніпро)
",,,,,-1,,,,,,,,,,,,,,,
3. Міста,"40. Цікаво, що Ленс Генріксен, який зіграв роль Бішопа у фільмі “Чужі”, під час розробки ЦІЄЇ КОМП’ЮТЕРНОЇ ГРИ 2018 року виконав роль одного з людей. 
Відповідь: “Detroit: Become Human”
Залік: “Детройт: стати людиною”. “Детройт”
Коментар: у фільмі “Чужі” Генріксен зіграв роль андроїда. Сюжет гри “Detroit: Become Human” вибудовано навколо андроїдів, що живуть серед людей, але тут Генріксен зіграв роль вже не андроїда, а людини.
Джерело: https://en.wikipedia.org/wiki/Lance_Henriksen, https://kanobu.ru/reviews/retsenziya-na-detroit-become-human-372037/
Автор: Євген Шляхов (Дніпро)",,,,,,,,,,,,,,1,,,,,,1
3. Міста,"50. У цьому запитанні є заміна. Героїня роману Решата Ґюнтекіна “Чаликушу” закінчує жіночий пансіон і отримує призначення на посаду вчительки в семінарію. Яке слово ми замінили в попередньому реченні?
Відповідь: Бурса
Коментар: твір турецький. Героїня отримує призначення в школу, що знаходить в місті Бурса. Бурса і семінарія типи навчальних закладів.
Джерело:Серіал 1986р. “Корольок — пташка співоча”, серія №2
Автор: Євген Шляхов (Дніпро)",,,,,,,,,,,,,,,,,,,,
4. Останівка,"10.  [Ведучому: читати, як написано!]
Зґідна одній гумарістічній статті, арєал ЙіЙі пішірєння ахаплював лішє сєліщє на Луґанщіні.
Відповідь: Азірівка
Коментар: Запитання перекладене азірівкою. Тимчасово окуповане селище на Луганщині має назву Азарівка.
Джерело: https://uk.wikipedia.org/wiki/Вікіпедія:Гумор/Азірівка",1,,,1,,,,,,,,,,1,,-1,1,,,
4. Останівка,"20. Довідники зазначають, що сильний ВІН може супроводжуватися головним болем, але ЙОГО можна швидко вилікувати. А ось сильну ЇЇ, ще й з головною біллю можна лікувати неділями.
Відповідь: Нежить
Коментар: Нежить, як і біль – чоловічого роду. Вживати ці слова в жіночому роді – поширена помилка. Як і плутати російськомовне «неделя» й тиждень.
Джерело: https://gazeta.ua/articles/chistota-movlennya/_nazvali-10-najposhirenishih-pomilok-ukrayinskoyi-movi/845221",1,,,,,,,,,,,,,,,,,,,
4. Останівка,"30. У відповіді дві реалії. Філологиня пише, що в добу євровікон ми забули про приємний бонус у вигляді ПЕРШОЇ, але чомусь не забуваємо плутати її з ДРУГОЮ, хоч і до бабці в село теж не їздимо.
Відповідь: Кватирка, хвіртка
Коментар: Маленька шибка у вікні для провітрювання – це кватирка, а хвіртка – це невеликі двері в паркані чи огорожі.
Джерело: О. Дубчак «Чути українською»",,,,,1,,,,,,,,,,-1,,,,,
4. Останівка,"40. У запитанні є заміна. У статті про те, як радянський вплив отруїв живу українську мову, згадується, що українське «живе ВОНО» перетворилося на вісімдесяту.
Відповідь: Срібло
Коментар: Ртуть колись українською називали живим сріблом – порівняйте з англійським quick silver. Ртуть – вісімдесятий елемент періодичної таблиці. «Отруїв» – підказка.
Джерело: https://news.obozrevatel.com/ukr/show/lite/10-ukrainskih-sliv-yaki-navmisne-zaminila-radyanska-vlada.htm",,,1,,,,,,,,,,,,,,,,,
4. Останівка,"50. [Роздатковий матеріал:
Все ясно
]
На роздатковому матеріалі - переклад назви роману Фоєра, в якому ми замінили одну літеру двома. На цій зміні при другому виданні наполягав перекладач, наголошуючи, що головний герой роману – кумедний одесит. Назвіть ЦЕЙ УКРАЇНСЬКИЙ ЗАГОЛОВОК РОМАНУ вірно.
Відповідь: всьо ясно
Коментар: Використання суржика – це також літературний прийом, яким користуються, зокрема, перекладачі. А тут ще й головний персонаж американського письменника – одесит, тому англійська в нього теж не чиста.
Джерело: https://chytomo.com/sleng-dialekty-surzhyk-neolohizmy-chy-literaturna-mova-iak-perekladaty-z-anhlijskoi-spetsyfiku-movy-personazha/",,,,,,,,,,,,,,,,,,,,
5. Люди 1979 року народження,"10. При пошуку в гуглі англійською за словами “Bond girl” [бонд гьол] знаходяться персонажі десятків різних актрис. При пошуку ж українською “дівчина Бонда”, більше половини посилань першої сторінки ведуть до персонажа ЦІЄЇ АКТОРКИ.
Відповідь: Ольга Куриленко.
Джерело: пошук в гуглі проведений автором питання
Автор: Євген Шляхов (Дніпро)",1,,,,,,1,,,,,,,1,,,1,,,1
5. Люди 1979 року народження,"20. Подвір’я вінницького будинку ЦЬОГО СПІВАКА прикрашають дерев’яні скульптури оленів.
Відповідь: Віктор Бронюк
Коментар: лідер гурту “ТіК” відомого, зокрема, піснею “Олені”
Джерело: https://uk.wikipedia.org/wiki/Бронюк_Віктор_Володимирович
Автор: Євген Шляхов (Дніпро)",,,1,,-1,,1,,,,,,1,-1,,,1,,1,
5. Люди 1979 року народження,"30. Назвіть фіна, який має прізвисько “Король бальнеотерапії”. В попередньому реченні коротке слово ми замінили іншим, набагато довшим.
Відповідь: [Кімі] Ряйконен
Коментар: прізвисько Ряйконена – “король Спа”, отримане за неоднаразові перемоги на гран-прі Формули 1 в Спа. Словом “спа” називають водолікування, тобто бальнеотерапію. Якщо ж ви подумали про Міку Гаккінена, то він на 11 років старший.
Джерело: https://uk.wikipedia.org/wiki/Кімі_Ряйкконен, https://uk.wikipedia.org/wiki/Спа_(фізіотерапія)
Автор: Євген Шляхов (Дніпро)",,1,,,,,,,,,,,,,,,,,,
5. Люди 1979 року народження,"40. ЙОГО родина переїхала в Україну в 1992 році рятуючись від війни в Абхазії. У 2014 році ВІН прислужився організації “Народний проект”, .
Відповідь: [Давид] Арахамія
Коментар: зараз Арахамія відомий як Голова фракції «Слуги народу» у Верховній Раді України.
Джерело: https://uk.wikipedia.org/wiki/Арахамія_Давид_Георгійович, https://uk.wikipedia.org/wiki/Народний_проект
Автор: Євген Шляхов (Дніпро)",1,-1,,1,,,,,1,,,,,,,,1,,,
5. Люди 1979 року народження,"50. ЦЕЙ АКТОР є племінником відомого серфінгіста Браяна Кіулана
Відповідь: Джейсон Момоа
Коментар: Момоа та Кіулан мають гавайське походження. Серфінг є дуже популярним на Гаваях
Джерело: https://uk.wikipedia.org/wiki/Джейсон_Момоа
Автор: Євген Шляхов (Дніпро)",1,,,,,,,-1,,,,1,,,,,,-1,,
,Ʃ за тему,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Ʃ всего,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,
,Українські пам’ятники,,,,,,,,,,,,,,,,,,,,
6. Українські пам’ятники,"10. Пам’ятник ЙОМУ стоїть у Львові на вулиці Пекарській, щоправда, у вигляді лондонця, що народився у 1976 році.
Відповідь: Шерлоку Голмсу
Коментар: Пам’ятник знаходиться біля входу в готель «Шерлок Голмс». Цей Шерлок – не класичний, а герой однойменного осучасненого серіалу з Камбербетчем в головній ролі. Пекарська – це те саме, що і Бейкер-стріт.
Джерело: ОДАВ",1,,,1,,,-1,,,,,,,,,,1,,,
6. Українські пам’ятники,"20. ВІН мав скидати зі скелі шляхтича, єврея-орендаря та єзуїта, але на такий шовінізм в імперії забракло грошей.
Відповідь: Кінь Богдана Хмельницького
Залік: за згадкою Богдана Хмельницького або його пам’ятник у Києві/на Софійській площі.
Коментар: Врешті на багатофігурну композицію не вистачило коштів, також і генерал-губернатор завагався щодо доцільності антипольського та антисемітського монументу. А через хвіст того самого коня ще й довелося розвернути монумент, який таким чином припинив погрожувати Польщі.
Джерело: https://uk.wikipedia.org/wiki/Пам%27ятник_Богданові_Хмельницькому_(Київ)",,,1,,1,,,,-1,,,,,,,,,,,
6. Українські пам’ятники,"30. Яскравий пам’ятник ЙОМУ в Кам’янці-Дніпровській Запорізької області у багатьох списках складає пару відомому монументу на Чернігівщині.
Відповідь: Помідору.
Коментар: Всі знають ніжинські огірки, але, якщо ви хоч раз куштували помідори, що виростили в Запорізькій області, ви зрозумієте ;) На пам’ятнику Кам’янці помідор – яскравого червоного кольору.
Джерело: https://ua.igotoworld.com/ua/article/364_17-12-2014-samye-populyarnye-pamyatniki-v-ukraine.htm",-1,,,,,1,,,,,,,,,,,,,,
6. Українські пам’ятники,"40. Пам’ятник ЇМ у закарпатський Колочаві стоїть біля автобусної зупинки. У статті про пам’ятник згадується, що жодна війна не забрала стільки життів місцевих мешканців.
Відповідь: Заробітчанам
Коментар: Порахували, що за останні 100 років 50 мешканців села у розквіті сил за різних обставин загинули на чужині. Потреба їхати на заробітки за кордон, на жаль, багато років була невід’ємною частиною життя селян Західної України.
Джерело: http://kolochava.com/ua/pamyatniki-kolochavi1/zarobtchanam.html",,,,,,,,-1,,,-1,,-1,,,-1,,,,
6. Українські пам’ятники,"50. У відповіді – слово тюркського походження. Пам’ятник, що зображає зрешечену кулями ЇЇ, подорожував Україною, аж поки не був офіційно встановлений у Києві 23 вересня 2016 року. Одна з назв пам’ятника – Калі Траш.
Відповідь: Кибитка
Залік: Ромська кибитка, циганська кибитка.
Коментар: Пам’ятник присвячено жертвам геноциду ромів, і зараз він стоїть у Бабиному Яру, де 23 вересня 1941 року відбувся розстріл п’яти ромських таборів. Ромський Голокост також називають «Чорний Жах» – «Калі Траш».
Джерело: https://uk.wikipedia.org/wiki/Ромська_Кибитка",1,,,1,,,,,,,,,,,,,,,,-1
7. С.П.,"10. Італійський квартет гітаристів отримав назву «СТІЛЬКИ ЇХ», тому що під час виконання композицій музикантами дійсно використовуються усі.
Відповідь: «Сорок пальців».
Джерело: https://vk.com/wall-81163973_312832",,-1,,,,1,-1,,-1,1,,,,,-1,,1,-1,,
7. С.П.,"20. Один із найуспішніших підприємців європейського острова Ре́нцо Барбе́ра у 1970 році став президентом клубу. Відразу після смерті підприємця у 2002 році іменем Ренцо Барбери був названий ВІН.
Відповідь: стадіон «Палермо».
Коментар: «Палермо» – один із найсильніших футбольних клубів Сицилії.
Джерела: 1. https://en.wikipedia.org/wiki/Stadio_Renzo_Barbera
2. https://en.wikipedia.org/wiki/Renzo_Barbera",,1,,,,1,1,,,,,,,1,,,1,,,1
7. С.П.,"30. Ще недавно ЦЯ УКРАЇНКА бідкалася, що син одягається як безхатько: малий, худий, а штани на десять розмірів більші.
Відповідь: Стефанія Псюк.
Коментар: мати фронтмена гурту Kalush [ка́луш]. Реп-виконавці часто обирають одяг більший, ніж їх розмір.
Джерела: 1. https://zaxid.news/post2641011
2. http://naftohimik.info/news/mistsevi-novini/roman-psyuk-oleh-shche-v-ditinstvi-vidznachavsya-tverdistyu-kharaktera-1651830771",,,1,,,,,,,,,,,,,,,,,
7. С.П.,"40. В ілюстрованому довіднику Сі́дні Го́лла ВОНА – це одна зі зміїних голів Медузи Горгони.
Відповідь: сигма Персея.
Коментар: Голова Горгони – найвідоміший астеризм сузір’я Персея. Сідні Голл автор астрономічного атласу «Дзеркало Уранії».
Джерела: 1. https://en.wikipedia.org/wiki/File:Sidney_Hall_-_Urania%27s_Mirror_-_Perseus.jpg
2. https://en.wikipedia.org/wiki/Perseus_(constellation)",,,,1,,-1,,,,,,,,,,,,,,
7. С.П.,"50. З давна на одному з пагорбів острова Ба́белдао́б збиралися люди, щоб принести у жертву богам рибу-ангела, яку місцеві жителі називають словом «муд». Можна сказати, що ВОНА – це «місце, де гниє риба-ангел».
Відповідь: столиця Пала́у.
Коментар: саме це означає в перекладі слово Нгеру́лмуд. Нгерулмуд – столиця Палау, що розташована на острові Ба́белдао́б.
Джерело: https://en.wikipedia.org/wiki/Ngerulmud",,,,,,,,,,,,,,,,,,,,
8. Тварини,"10. ЦЕЙ ПРЕДСТАВНИК ЧЛЕНИСТОНОГИХ зображений на гербі клану ніндзя Ширай Рю. Голова клану був вбитий, але відроджений Куан-Чі для участі в турнірі.
Відповідь: скорпіон
Коментар: так з’явився ніндзя Скорпіон – персонаж серії ігор і фільмів “Mortal Kombat”
Джерело: https://uk.wikipedia.org/wiki/Скорпіон_(Mortal_Kombat)
Автор: Євген Шляхов (Дніпро)",,-1,-1,1,,,-1,,1,,,,,1,-1,1,,,,1
8. Тварини,"20. ЦЯ ТВАРИНА була вперше описана в книзі “Подорож до Ботанічної затоки” під назвою новоголландський казуар.
Відповідь: Ему
Коментар: Абель Тасман первинно назвав Австралію “Нова Голландія”. Ботанічна затока знаходиться біля східного узбережжя Австралії.
Джерело: https://uk.wikipedia.org/wiki/Ему, https://uk.wikipedia.org/wiki/Нова_Голландія_(Австралія)
Автор: Євген Шляхов (Дніпро)",,,,-1,,1,-1,,-1,,1,,,,-1,,-1,,,
8. Тварини,"30. “Не ту тварину назвали НЕЮ”, – зазначив один блогер, оповідаючи про бабірусу, яка здатна перепливати затоки острова Сулавесі.
Відповідь: морська свинка
Коментар: На відміну від справжніх морських свинок, бабіруси дійсно є свинями, ще й чудово вміють плавати в морі.
Джерело: https://www.youtube.com/watch?v=5-wvvXSnOTM
Автор: Євген Шляхов (Дніпро)",1,,,,,,-1,,,,,,,,,,,,1,
8. Тварини,"40. Саме ЦИМ СЕМИЛІТЕРНИМ ЕПІТЕТОМ охарактеризована сосна, біля якої в пісні Сергія Башликевича живе лось, що втратив орієнтацію зовсім не в просторі. 
Відповідь: горбата
Коментар: лось в пісні має нетрадиційну сексуальну орієнтацію, а сосна, подібна до гори з відомого фільму, горбата
Джерело:https://www.youtube.com/watch?v=tFFbAqJqMVE
Автор: Євген Шляхов (Дніпро)",,,,,,,,,,,,,,,,,1,,,
8. Тварини,"50. ЦЕЙ ПЕРСОНАЖ, прообразами при створенні якого були саламандра і бегемот, з’явився ще у 1997 році. Але тільки у 2021 році ЙОГО нарешті зробили офіційним туристичним символом префектури Кагава.
Відповідь: слоупок
Коментар: Слоупок – ім’я одного з найвідоміших покемонів, який через співпадіння імені із назвою місцевої локшини особливо популярний в Кагаві. Влада префектури теж, як бачимо, не дуже квапилась.
Джерело: https://birdinflight.com/ru/novosti/slowpoke-tourism-japan.html, https://pokemon.fandom.com/ru/wiki/Слоупок
Автор: Марія Шляхова (Дніпро)",,1,,,,,,,-1,,1,,,,,,,,,-1
